gev_20100110_0027,2010-01-10 00:27:00,2010-01-10 00:35:00,2010-01-10 00:45:00,B2.5,POINT(-40.0 32.0),0
gev_20100110_0140,2010-01-10 01:40:00,2010-01-10 02:50:00,2010-01-10 03:08:00,B4.4,POINT(-33.0 32.0),0
gev_20100110_1152,2010-01-10 11:52:00,2010-01-10 11:57:00,2010-01-10 12:01:00,B3.7,POINT(-29.0 29.0),0
gev_20100110_1539,2010-01-10 15:39:00,2010-01-10 15:42:00,2010-01-10 15:45:00,B1.1,POINT(-28.0 28.0),1040
gev_20100110_1756,2010-01-10 17:56:00,2010-01-10 18:00:00,2010-01-10 18:07:00,B1.9,POINT(-22.0 26.0),1040
gev_20100110_2252,2010-01-10 22:52:00,2010-01-10 22:57:00,2010-01-10 23:04:00,B2.3,POINT(-24.0 28.0),1040
gev_20100111_0141,2010-01-11 01:41:00,2010-01-11 01:50:00,2010-01-11 01:53:00,B2.7,POINT(-20.0 27.0),1040
gev_20100111_0155,2010-01-11 01:55:00,2010-01-11 01:58:00,2010-01-11 02:02:00,B3.9,POINT(-20.0 27.0),1040
gev_20100111_0448,2010-01-11 04:48:00,2010-01-11 04:54:00,2010-01-11 05:05:00,B2.7,POINT(-18.0 25.0),1040
gev_20100111_0605,2010-01-11 06:05:00,2010-01-11 06:19:00,2010-01-11 06:34:00,B6.8,POINT(-16.0 26.0),1040
gev_20100111_0800,2010-01-11 08:00:00,2010-01-11 08:05:00,2010-01-11 08:11:00,B1.9,POINT(-32.0 27.0),0
gev_20100111_0908,2010-01-11 09:08:00,2010-01-11 09:11:00,2010-01-11 09:13:00,B1.3,POINT(-17.0 33.0),0
gev_20100111_1116,2010-01-11 11:16:00,2010-01-11 12:01:00,2010-01-11 12:16:00,B6.1,POINT(-19.0 29.0),1040
gev_20100111_1350,2010-01-11 13:50:00,2010-01-11 13:56:00,2010-01-11 14:01:00,B9.1,POINT(-14.0 26.0),1040
gev_20100111_1427,2010-01-11 14:27:00,2010-01-11 14:36:00,2010-01-11 14:48:00,B5.4,POINT(-13.0 25.0),1040
gev_20100111_1621,2010-01-11 16:21:00,2010-01-11 16:27:00,2010-01-11 16:45:00,B3.9,POINT(8.0 69.0),0
gev_20100112_1233,2010-01-12 12:33:00,2010-01-12 13:20:00,2010-01-12 13:34:00,C1.1,POINT(-1.0 35.0),0
gev_20100112_1733,2010-01-12 17:33:00,2010-01-12 17:36:00,2010-01-12 17:39:00,B2.7,POINT(4.0 25.0),1040
gev_20100112_1907,2010-01-12 19:07:00,2010-01-13 00:46:00,2010-01-13 02:14:00,B1.7,POINT(-3.0 31.0),0
gev_20100113_1459,2010-01-13 14:59:00,2010-01-13 15:04:00,2010-01-13 15:09:00,B2.5,POINT(9.0 30.0),0
gev_20100114_0115,2010-01-14 01:15:00,2010-01-14 01:21:00,2010-01-14 01:26:00,B3.0,POINT(nan nan),0
gev_20100114_0428,2010-01-14 04:28:00,2010-01-14 04:36:00,2010-01-14 04:47:00,B2.2,POINT(19.0 26.0),1040
gev_20100115_0713,2010-01-15 07:13:00,2010-01-15 08:41:00,2010-01-15 09:45:00,C1.3,POINT(29.0 30.0),0
gev_20100115_0722,2010-01-15 07:22:00,2010-01-15 08:41:00,2010-01-15 10:22:00,C1.3,POINT(31.0 31.0),0
gev_20100116_1228,2010-01-16 12:28:00,2010-01-16 12:40:00,2010-01-16 13:00:00,B3.9,POINT(50.0 30.0),0
gev_20100116_1716,2010-01-16 17:16:00,2010-01-16 17:23:00,2010-01-16 17:26:00,B1.9,POINT(49.0 28.0),0
gev_20100116_1827,2010-01-16 18:27:00,2010-01-16 18:30:00,2010-01-16 18:32:00,B3.5,POINT(57.0 25.0),1040
gev_20100116_2052,2010-01-16 20:52:00,2010-01-16 20:57:00,2010-01-16 21:00:00,B1.5,POINT(49.0 28.0),0
gev_20100117_1938,2010-01-17 19:38:00,2010-01-17 19:43:00,2010-01-17 19:50:00,B4.2,POINT(60.0 20.0),0
gev_20100117_2212,2010-01-17 22:12:00,2010-01-17 22:33:00,2010-01-17 22:41:00,C2.1,POINT(76.0 29.0),1040
gev_20100118_0301,2010-01-18 03:01:00,2010-01-18 03:30:00,2010-01-18 04:05:00,B7.5,POINT(-88.0 -24.0),0
gev_20100118_0302,2010-01-18 03:02:00,2010-01-18 03:30:00,2010-01-18 03:58:00,B7.5,POINT(-88.0 -24.0),0
gev_20100118_0532,2010-01-18 05:32:00,2010-01-18 05:54:00,2010-01-18 06:07:00,B8.4,POINT(-88.0 -25.0),0
gev_20100118_1954,2010-01-18 19:54:00,2010-01-18 20:39:00,2010-01-18 21:06:00,C4.9,POINT(-87.0 -29.0),0
